Parameter,Mean,Median,HPD_lower,HPD_higher,q_lower,q_higher,Rhat,n_eff
"U1[84,2]",0.0016545438354166654,0.008022775,-1.89633,1.99698,-1.9761787499999994,1.9303974999999998,1.0009827,23678.233
"U1[85,2]",-0.119538618087475,-0.127883,-2.01238,1.78397,-2.0115804999999995,1.7840684999999985,0.9998624,20966.108
"U1[86,2]",-0.006503673464291667,-0.009187520000000001,-1.93058,1.9514,-1.9501469999999999,1.9369975,1.0004008,24003.676
"U1[87,2]",0.0031365424338333334,0.01110385,-1.89255,1.94587,-1.91673325,1.9310772499999995,1.0002773,21814.301
"U1[88,2]",-0.1189584958965,-0.11374400000000001,-2.07671,1.88978,-2.0753254999999995,1.8898784999999987,1.0005463,23475.326
"U1[1,3]",-0.30507729855475,-0.29653949999999996,-2.01102,1.36729,-2.0076845,1.3783712499999992,1.0005826,22111.094
"U1[2,3]",0.242400354715275,0.24344300000000002,-1.46581,1.89464,-1.4571344999999993,1.9061639999999977,1.0002688,19811.634
"U1[3,3]",-0.5294263069643916,-0.53069,-2.24446,1.21417,-2.2419094999999993,1.2182249999999994,0.9998073,21815.731
"U1[4,3]",0.49913164942925,0.4989555,-1.11955,2.12078,-1.126566,2.1182742499999994,0.9999075,18942.824
"U1[5,3]",0.10226191353516667,0.102674,-1.58496,1.78713,-1.5827674999999999,1.791862999999999,1.0002312,18887.020
"U1[6,3]",0.590969566807225,0.594148,-1.1783,2.22899,-1.10713,2.3093287499999997,0.9999265,20010.630
"U1[7,3]",1.030360530894225,1.0384950000000002,-0.689391,2.71485,-0.6806979749999998,2.7289687499999995,0.9999824,18870.583
"U1[8,3]",-0.4108256373313333,-0.4094295,-2.18014,1.34509,-2.1702529999999998,1.3619272499999984,1.0002162,20580.607
"U1[9,3]",0.6442398737413083,0.653768,-1.07306,2.36961,-1.0731169999999992,2.3693857499999997,1.0001495,18485.718
"U1[10,3]",-0.32877939429634,-0.3232685,-2.08016,1.53773,-2.1380167499999994,1.4821009999999992,1.0005641,21046.474
"U1[11,3]",-0.426158761735325,-0.42412700000000003,-2.23483,1.33804,-2.20828825,1.3821674999999993,1.0001886,22261.762
"U1[12,3]",0.12232706130385,0.1330055,-1.65105,1.92234,-1.6532192499999998,1.921584,1.0002679,22781.105
"U1[13,3]",0.97762730087875,0.978418,-0.69675,2.58754,-0.6733352249999994,2.6145075,1.0000471,17294.577
"U1[14,3]",-0.3044189067231667,-0.3015545,-2.19823,1.61038,-2.2303764999999993,1.5890879999999992,1.0006809,22781.393
"U1[15,3]",0.9106189157896667,0.910462,-0.793345,2.48866,-0.728771775,2.5760759999999983,1.0003770,19625.970
"U1[16,3]",-0.5707700057242583,-0.57307,-2.32595,1.08559,-2.27136125,1.1556447499999998,0.9999197,21920.020
"U1[17,3]",-0.2835218494408083,-0.28697700000000004,-1.97524,1.3678,-1.9509359999999998,1.4114514999999996,1.0005886,19636.679
"U1[18,3]",-0.5250399225077167,-0.523945,-2.4557,1.33061,-2.43379475,1.37014075,1.0002527,20920.414
"U1[19,3]",0.5931816971640167,0.591272,-1.06939,2.26012,-1.0563002499999998,2.28353,1.0003903,17723.378
"U1[20,3]",-0.12159162822364167,-0.11617949999999999,-1.89909,1.67217,-1.9288764999999992,1.6608572499999998,1.0010440,22467.888
"U1[21,3]",-0.024494981168,-0.0112687,-1.72928,1.6131,-1.7057994999999997,1.6466474999999998,1.0004564,18130.945
"U1[22,3]",0.29491076442375835,0.29632650000000005,-1.41052,2.0265,-1.4470959999999995,2.00527925,1.0009917,18730.590
"U1[23,3]",-0.009323060202816666,0.00511614,-1.80506,1.74977,-1.8047479999999998,1.7498007499999997,1.0007135,19601.286
"U1[24,3]",0.39833324932308334,0.3968475,-1.32733,2.05506,-1.2975994999999996,2.097637499999999,0.9999114,17270.768
"U1[25,3]",-0.0075796007256333335,-0.0044624899999999995,-1.75178,1.70334,-1.7656065,1.6954454999999995,1.0009560,20492.878
"U1[26,3]",0.37644052053130833,0.3814635,-1.39012,2.20648,-1.4325717499999997,2.16919075,1.0000674,18971.174
"U1[27,3]",0.9668143105638334,0.9621275,-0.759406,2.55701,-0.6878295749999999,2.6357739999999996,1.0004913,17806.406
"U1[28,3]",0.6155896059385834,0.614497,-1.16338,2.35861,-1.13777,2.3971365000000002,1.0008849,19700.911
"U1[29,3]",0.29615127955075,0.2984055,-1.51529,2.02954,-1.48128625,2.0781459999999994,1.0008134,22286.999
"U1[30,3]",-0.045955094662166664,-0.0558134,-1.69622,1.65459,-1.70773125,1.6456574999999993,1.0005149,20482.834
"U1[31,3]",0.06834379465060833,0.07299875,-1.76944,1.87919,-1.7583402499999998,1.8910617499999995,1.0007794,21476.091
"U1[32,3]",0.4431437607945558,0.452919,-1.40374,2.28875,-1.4011127499999994,2.2984467499999996,1.0003496,22210.110
"U1[33,3]",-0.31838610355045,-0.3290535,-2.06129,1.54962,-2.1033969999999997,1.5168809999999986,1.0002980,22130.105
"U1[34,3]",-0.2767625227403,-0.2733945,-2.05244,1.46836,-2.04112625,1.4891819999999993,1.0004084,19420.278
"U1[35,3]",0.3116481719417,0.312403,-1.45458,2.13111,-1.4915294999999993,2.1085304999999996,1.0002508,21933.187
"U1[36,3]",-0.027506824447591668,-0.0223067,-1.89888,1.72406,-1.8438992499999998,1.7976834999999989,1.0003791,19894.054
"U1[37,3]",-0.5796809250924584,-0.5712984999999999,-2.39823,1.30537,-2.43844825,1.2705524999999993,1.0008600,20111.914
"U1[38,3]",-0.1576489282557,-0.15292650000000002,-2.13305,1.71354,-2.0786132499999996,1.7823639999999996,1.0004413,22467.491
"U1[39,3]",0.2844233776608333,0.28629550000000004,-1.48444,2.028,-1.4897309999999997,2.0245022500000003,0.9999268,22864.929
"U1[40,3]",0.12946110272066666,0.13312400000000002,-1.82575,2.04199,-1.8200637499999999,2.05992375,1.0003151,21921.480
"U1[41,3]",-0.6464645778169,-0.640605,-2.38926,1.12706,-2.4332765,1.1046602499999993,1.0001973,22619.017
"U1[42,3]",0.49109361057783335,0.4989925,-1.31277,2.24108,-1.28668475,2.2686674999999994,1.0004544,19365.534
"U1[43,3]",-0.36693170905275,-0.370016,-2.27358,1.41486,-2.230357,1.4792785,1.0003012,22677.343
"U1[44,3]",-0.30218505526591666,-0.3043375,-2.25283,1.49705,-2.2082865,1.55876,1.0007917,23953.302
"U1[45,3]",0.12280474522253333,0.1250455,-1.6675,1.78952,-1.6046384999999996,1.861494,1.0005363,19973.831
"U1[46,3]",-0.124083396518425,-0.1268245,-1.97825,1.80669,-2.0229535,1.7670234999999994,1.0001841,22126.211
"U1[47,3]",-0.3974006775545,-0.3959205,-2.24858,1.41866,-2.2285299999999997,1.4522004999999998,1.0004759,20524.484
"U1[48,3]",0.003687981241666666,-0.003380635,-2.05048,1.89249,-1.9792582499999993,1.9819062499999995,1.0006922,22282.665
"U1[49,3]",-0.0654365403824,-0.068077,-2.06856,1.92134,-2.0573064999999997,1.9323532499999996,1.0008462,24377.208
"U1[50,3]",-0.042995905334724166,-0.03472915,-1.86976,1.7748,-1.8848362499999998,1.7659205,1.0003423,21061.643
"U1[51,3]",0.033195513192233336,0.02797955,-1.70838,1.81526,-1.727044,1.8052644999999996,1.0004391,20623.753
"U1[52,3]",-0.14538976339066667,-0.15329500000000001,-1.88339,1.64362,-1.9040542499999993,1.631594,1.0003881,21443.061
"U1[53,3]",-0.17216785430707499,-0.177341,-2.0086,1.66238,-2.0046399999999998,1.6773744999999995,1.0003448,22292.300
"U1[54,3]",-0.45341583904116667,-0.44662250000000003,-2.28251,1.45974,-2.3463642499999997,1.4092294999999997,0.9999480,23289.862
"U1[55,3]",-0.5001379744248583,-0.492387,-2.29383,1.31708,-2.3177909999999997,1.3001559999999994,1.0003151,20720.635
"U1[56,3]",-0.12282729389183333,-0.1216605,-1.93963,1.72165,-1.9438152499999999,1.718396,1.0002564,20567.737
"U1[57,3]",-0.5809320645517166,-0.578182,-2.30902,1.20845,-2.3307669999999994,1.1905057499999996,1.0000408,23229.972
"U1[58,3]",-0.28337529024491664,-0.2801465,-2.22619,1.6191,-2.2197195,1.626338499999999,0.9999467,22060.158
"U1[59,3]",-0.2891012526881883,-0.283159,-2.14175,1.43898,-2.0812724999999994,1.5065282499999997,1.0001193,20388.303
"U1[60,3]",-0.04203563562183334,-0.04230565,-1.88868,1.86892,-1.9193139999999997,1.848248749999999,1.0005415,20415.083
"U1[61,3]",-0.19969357694833334,-0.19424999999999998,-2.13615,1.66222,-2.0990629999999997,1.7023754999999998,1.0001925,21944.461
"U1[62,3]",-0.0474384385634,-0.04884945,-1.96614,1.78106,-1.9135475,1.8496484999999996,1.0003671,22255.908
"U1[63,3]",-0.0657893139185,-0.07407705,-2.00773,1.93502,-2.019881,1.9312587499999998,1.0012075,22203.268
"U1[64,3]",-0.11709929626258334,-0.1272865,-2.05283,1.84883,-2.0529379999999993,1.848479,1.0001164,22475.028
"U1[65,3]",-0.18879716514502917,-0.18860300000000002,-2.07767,1.70455,-2.0752037499999996,1.7079907499999998,0.9999922,18985.120
"U1[66,3]",0.17435317748475,0.170209,-1.82477,2.10185,-1.7897024999999998,2.1397122499999996,1.0005946,22529.315
"U1[67,3]",-0.08980707632025,-0.08357745,-2.0125,1.8459,-2.027329,1.8361134999999997,1.0004997,24206.680
"U1[68,3]",-0.521668539205875,-0.5214055,-2.33491,1.28139,-2.3529627499999997,1.26859925,1.0001258,21372.357
"U1[69,3]",-0.4153099165853583,-0.419734,-2.17786,1.50314,-2.2465547499999996,1.44232575,1.0003193,17756.580
"U1[70,3]",-0.018905774630983332,-0.02424055,-1.91092,1.94963,-1.934971,1.9354077499999995,1.0011724,20990.765
"U1[71,3]",-0.10029698621480833,-0.09611449999999999,-1.96417,1.88914,-2.0221834999999997,1.8387399999999992,1.0007906,22587.681
"U1[72,3]",0.19578148325546665,0.193019,-1.55505,2.077,-1.6150689999999996,2.0303525,1.0001037,21648.930
"U1[73,3]",-0.04041068316434167,-0.0447751,-1.95844,1.93724,-2.00407075,1.8954597499999988,1.0000397,21352.094
"U1[74,3]",0.56100519065413,0.5719464999999999,-1.31629,2.40643,-1.3079842499999998,2.4169389999999997,1.0004415,19508.665
"U1[75,3]",-0.19670776033366666,-0.194208,-2.04577,1.7283,-2.0777852499999994,1.703895999999999,1.0000803,18635.010
