Player,Ability,SE
Simone Vagnozzi,-0.987766060389657,1.597225637697
Michael Yani,0.24833704725642639,1.455274204739529
Arnau Brugues-Davi,-1.2367938734255908,1.7549516858327734
Michael Shabaz,-0.4586769830167283,1.9767203752121365
Ricardo Mello,-3.4362224056286252,1.9193945682915134
Alex Rybakov,20.890345481270348,10754.013038713547
Mohamed Safwat,1.3242769701606456,1.5165100146184451
Alexandar Lazarov,21.366753754995866,7498.649341399488
Luca Vanni,2.1376713408204107,1.4234750926109097
Lukas Lacko,1.3790903878833078,1.372024931125677
Alexander Bublik,5.036617326219843,1.4284108809219462
Hiroki Moriya,2.650292266182336,1.4055440096181957
Grigor Dimitrov,3.340693915212917,1.3578708695511348
Tennys Sandgren,3.2600203461025643,1.4078082056479835
Andrey Kuznetsov,3.8461216284621718,1.3836031007536556
Egor Gerasimov,4.040483365040942,1.4197933371590525
Lucas Pouille,3.7621396020888493,1.3670087161329356
Vladimir Polyakov,2.3719807627398977,3.3262672982683426
Blake Mott,4.3545186974515,1.968141108063037
Kimmer Coppejans,4.625789788310333,1.4780067525822613
Kevin King,4.817935618395396,1.6299777176829595
Viktor Troicki,2.6343480270421717,1.3626961822745007
Andrej Martin,1.146878899693725,1.4364198235603385
Alexander Bury,1.8054185015204485,2.0596719103371313
Stefan Seifert,-17.95172305986577,6192.352032709075
Alexander Igoshin,19.566068511062358,10754.012931532141
Dmitri Marfinsky,NA,NA
Alexander Kudryavtsev,-0.5948776274703882,1.5006266231749112
Rainer Schuettler,-20.47054487924519,2022.1529227517365
Chris Guccione,-0.830043370742593,1.54628440762825
Alexander Lobkov,2.485111906140064,1.8124218549640774
Radu Albot,2.746337887343553,1.3722089971815645
David Estruch,-16.121579615089203,5377.177970347708
Alexander Ritschard,7.700884866236872e-9,15208.470980093529
